record_id,phone,account_number,call_time,call_hour,call_result,age,mortgage_balance,tenure,account_holdings,retained,age_group,balance_group,tenure_group
1,863020487,ACC229155,28/04/2025 15:19,15,answering machine,49,138152.6065,0,3,1,36-50,Low,New
2,848010013,ACC227493,28/04/2025 12:56,12,answer,38,151442.4353,8.846019061,2,1,36-50,Low,Established
3,851041927,ACC671366,11/04/2025 13:46,13,answer,45,167324.082,9.312141627,4,1,36-50,Low,Established
4,854360666,ACC390201,14/04/2025 15:53,15,no answer,51,251029.4814,4.197369867,4,0,51-75,Medium-Low,Established
5,840663991,ACC164138,02/04/2025 11:52,11,wrong number,39,270044.5476,6.419830341,3,0,36-50,Medium-High,Established
6,829811447,ACC934085,28/04/2025 16:46,16,no answer,44,384116.5429,17.65540063,2,1,36-50,High,Long-term
7,880594035,ACC359097,21/04/2025 13:48,13,answer,45,294447.9931,3.508743581,2,1,36-50,Medium-High,New
8,885541780,ACC182411,18/04/2025 13:14,13,answer,53,50000,18.89620742,3,1,51-75,Low,Long-term
9,833630704,ACC301503,14/04/2025 15:22,15,answer,30,253204.6574,4.649029772,2,1,25-35,Medium-Low,Established
10,882137086,ACC586797,08/04/2025 10:56,10,no answer,75,339825.8959,0,1,0,51-75,High,New
11,899747026,ACC371829,25/04/2025 11:19,11,answer,65,153045.3027,15.21431724,4,1,51-75,Low,Loyal
12,879300892,ACC641074,15/04/2025 15:48,15,answer,58,179184.3564,2.806717446,3,0,51-75,Low,New
13,871574746,ACC842770,28/04/2025 11:28,11,answer,61,198242.5471,0,5,0,51-75,Low,New
14,871409972,ACC321954,07/04/2025 11:42,11,no answer,47,167184.3404,12.38095139,2,1,36-50,Low,Loyal
15,843566371,ACC223755,11/04/2025 16:32,16,no answer,47,232555.1787,23.48109407,3,1,36-50,Medium-Low,Long-term
16,856034706,ACC380482,09/04/2025 13:46,13,answer,54,108710.0233,13.15758569,3,1,51-75,Low,Loyal
17,858713696,ACC413830,21/04/2025 12:36,12,answer,69,332634.8453,3.249986076,2,0,51-75,High,New
18,872135874,ACC929894,07/04/2025 16:21,16,no answer,25,416746.1176,12.87361225,2,0,25-35,High,Loyal
19,850605880,ACC487341,07/04/2025 16:42,16,no answer,36,211667.2467,6.557212412,3,0,36-50,Medium-Low,Established
20,849705806,ACC507400,03/04/2025 11:16,11,stale,73,323812.4472,6.424747667,2,0,51-75,Medium-High,Established
21,898214967,ACC197135,09/04/2025 14:25,14,no answer,45,91993.61672,0,2,0,36-50,Low,New
22,823401145,ACC915566,17/04/2025 13:20,13,answer,34,200053.3724,4.89673956,5,1,25-35,Low,Established
23,839341161,ACC397181,18/04/2025 10:41,10,answer,27,272823.6208,7.050659338,5,0,25-35,Medium-High,Established
24,877494539,ACC777291,23/04/2025 16:55,16,answering machine,36,292258.5759,13.25928271,5,1,36-50,Medium-High,Loyal
25,835053102,ACC347216,30/04/2025 12:11,12,no answer,26,234436.2248,14.38740622,4,1,25-35,Medium-Low,Loyal
26,865244680,ACC941035,18/04/2025 14:28,14,answer,68,305655.7254,17.15415706,4,1,51-75,Medium-High,Long-term
27,843470076,ACC450713,11/04/2025 14:56,14,cancel record,49,498588.0745,9.494727613,5,1,36-50,High,Established
28,824661673,ACC616386,16/04/2025 10:37,10,answer,42,374026.6987,1.321809616,4,0,36-50,High,New
29,834261236,ACC433868,02/04/2025 16:48,16,answer,49,184186.0399,24.77767504,3,1,36-50,Low,Long-term
30,830028164,ACC800092,25/04/2025 12:24,12,answer,54,111282.9412,23.19251175,4,1,51-75,Low,Long-term
31,876592742,ACC749699,02/04/2025 13:37,13,answer,54,181840.4855,4.690075166,4,1,51-75,Low,Established
32,899380810,ACC764892,24/04/2025 09:36,9,answer,55,152992.2633,15.49485774,2,1,51-75,Low,Loyal
33,872520612,ACC234463,01/04/2025 12:12,12,dropped,36,275564.3576,6.642397748,3,1,36-50,Medium-High,Established
34,898046202,ACC455005,04/04/2025 10:38,10,answer,39,123400.0097,15.39151287,5,1,36-50,Low,Loyal
35,870860237,ACC727693,04/04/2025 14:22,14,answering machine,54,246030.6935,18.3203972,1,0,51-75,Medium-Low,Long-term
36,870864759,ACC192682,24/04/2025 13:44,13,answering machine,45,378772.3499,23.51333553,1,0,36-50,High,Long-term
37,832922401,ACC962630,09/04/2025 12:46,12,answer,45,253359.0177,15.35795379,3,0,36-50,Medium-Low,Loyal
38,834619032,ACC204240,21/04/2025 09:15,9,busy,55,226438.0793,9.379867302,3,1,51-75,Medium-Low,Established
39,875258871,ACC739033,09/04/2025 09:34,9,no answer,59,391247.6039,4.580717554,1,0,51-75,High,Established
40,849542373,ACC802895,01/04/2025 11:47,11,no answer,25,109797.8314,10.87900429,3,1,25-35,Low,Loyal
41,891028073,ACC145066,09/04/2025 11:56,11,no answer,59,279245.79,17.70849546,4,1,51-75,Medium-High,Long-term
42,898859814,ACC921855,07/04/2025 15:49,15,no answer,44,268224.5052,8.410483827,3,0,36-50,Medium-Low,Established
43,841079250,ACC830184,07/04/2025 10:32,10,no answer,73,383825.7194,0,3,0,51-75,High,New
44,830030466,ACC662092,01/04/2025 16:41,16,no answer,53,258040.8733,0,2,1,51-75,Medium-Low,New
45,842637783,ACC132627,14/04/2025 12:36,12,answer,64,298799.0213,14.10920484,2,1,51-75,Medium-High,Loyal
46,851544273,ACC655748,29/04/2025 12:24,12,no answer,67,304363.6091,8.709950481,4,0,51-75,Medium-High,Established
47,825589895,ACC964032,28/04/2025 16:01,16,answer,59,200777.9674,7.469717288,4,0,51-75,Low,Established
48,851146825,ACC604659,17/04/2025 15:51,15,answer,60,189265.7483,21.95839356,2,1,51-75,Low,Long-term
49,871674505,ACC970339,28/04/2025 14:30,14,answering machine,64,313607.9263,0.195545627,1,0,51-75,Medium-High,New
50,890441802,ACC900037,08/04/2025 14:54,14,answer,50,366394.2004,5.871948151,4,0,36-50,High,Established
51,861643816,ACC197515,11/04/2025 15:57,15,no answer,61,252117.6861,6.790117534,2,0,51-75,Medium-Low,Established
52,878648761,ACC181057,18/04/2025 14:03,14,answer,61,383534.9058,3.432765658,4,1,51-75,High,New
53,865197150,ACC484665,16/04/2025 11:07,11,answer,39,226635.6813,15.20481989,3,0,36-50,Medium-Low,Loyal
54,858878209,ACC104087,14/04/2025 12:31,12,no answer,50,221867.4452,18.43681661,3,1,36-50,Medium-Low,Long-term
55,864798823,ACC515497,04/04/2025 15:12,15,no answer,46,317988.6162,0,3,1,36-50,Medium-High,New
56,836565697,ACC345437,07/04/2025 12:48,12,answer,56,332074.0515,5.89271165,1,0,51-75,High,Established
57,860399802,ACC126209,21/04/2025 16:00,16,no answer,58,281992.1824,13.91894148,2,0,51-75,Medium-High,Loyal
58,896007531,ACC303845,08/04/2025 09:34,9,abandoned,56,353766.1773,6.273077057,2,0,51-75,High,Established
59,849476387,ACC908076,02/04/2025 11:49,11,wrong party,69,200496.046,17.21448708,2,1,51-75,Low,Long-term
60,892453168,ACC886668,09/04/2025 13:58,13,stale,25,283969.4771,11.50388715,4,1,25-35,Medium-High,Loyal
61,839864663,ACC453423,07/04/2025 11:56,11,answer,37,252907.4202,19.28446848,2,1,36-50,Medium-Low,Long-term
62,881105803,ACC957923,21/04/2025 15:50,15,answer,57,434218.9964,10.49163544,3,0,51-75,High,Loyal
63,820106365,ACC921898,22/04/2025 13:59,13,no answer,75,500000,0,1,0,51-75,High,New
64,849739942,ACC380893,16/04/2025 09:53,9,wrong number,48,283786.4353,13.12886587,3,1,36-50,Medium-High,Loyal
65,815786008,ACC163722,07/04/2025 15:06,15,answer,49,105777.3885,15.19574387,3,0,36-50,Low,Loyal
66,827894375,ACC728084,08/04/2025 10:29,10,answer,29,408718.5685,13.89433117,5,0,25-35,High,Loyal
67,847963833,ACC479174,03/04/2025 12:47,12,dropped,30,131420.9207,8.262146489,1,1,25-35,Low,Established
68,867852048,ACC205868,07/04/2025 09:46,9,no answer,52,360355.5869,11.80209849,3,0,51-75,High,Loyal
69,894805150,ACC859699,08/04/2025 12:02,12,no answer,26,260289.0275,13.88164806,1,1,25-35,Medium-Low,Loyal
70,867295857,ACC298763,07/04/2025 14:21,14,no answer,46,224216.8442,9.262167476,4,0,36-50,Medium-Low,Established
71,822640066,ACC386369,15/04/2025 10:05,10,answer,49,225765.1918,11.76529217,4,1,36-50,Medium-Low,Loyal
72,878873092,ACC149844,16/04/2025 10:48,10,answer,31,228535.6643,0,3,1,25-35,Medium-Low,New
73,894787788,ACC235251,01/04/2025 09:23,9,answer,62,322640.32,14.49178696,5,1,51-75,Medium-High,Loyal
74,844746509,ACC243181,21/04/2025 10:53,10,answer,68,110145.3268,21.5469438,5,1,51-75,Low,Long-term
75,845676261,ACC576180,11/04/2025 13:03,13,answer,25,217271.9205,13.51043137,3,1,25-35,Medium-Low,Loyal
76,855514005,ACC348078,03/04/2025 10:58,10,answering machine,37,98741.8854,3.214311948,3,0,36-50,Low,New
77,824680958,ACC685929,04/04/2025 12:29,12,no answer,25,390571.2253,0.333945018,4,0,25-35,High,New
78,882723492,ACC610114,09/04/2025 12:52,12,answer,53,288197.8539,7.92054954,2,0,51-75,Medium-High,Established
79,824273039,ACC770652,23/04/2025 15:12,15,wrong number,59,324782.7883,5.032295023,2,0,51-75,Medium-High,Established
80,883066189,ACC423177,14/04/2025 12:03,12,answer,42,270537.1443,9.732822629,4,0,36-50,Medium-High,Established
81,873242831,ACC630259,30/04/2025 15:04,15,no answer,53,278846.1105,5.651965769,3,1,51-75,Medium-High,Established
82,870678706,ACC268153,01/04/2025 12:50,12,answer,26,310218.3126,10.56092488,3,1,25-35,Medium-High,Loyal
83,899646481,ACC280750,04/04/2025 13:05,13,answer,60,441270.3921,3.116037487,1,0,51-75,High,New
84,871354385,ACC736547,02/04/2025 16:56,16,answer,36,236488.5736,6.739453956,5,1,36-50,Medium-Low,Established
85,878360691,ACC463183,14/04/2025 15:45,15,answer,45,302400.0295,13.79068155,2,1,36-50,Medium-High,Loyal
86,884491495,ACC936157,14/04/2025 11:24,11,answer,43,276962.3454,5.13783801,4,0,36-50,Medium-High,Established
87,895723957,ACC589427,14/04/2025 14:18,14,callback error,31,354355.1441,10.00003298,3,0,25-35,High,Established
88,851766781,ACC581683,22/04/2025 09:02,9,no answer,30,208310.9691,13.90444451,2,1,25-35,Medium-Low,Loyal
89,827725227,ACC694460,23/04/2025 12:03,12,busy,54,311278.2964,8.605891334,5,1,51-75,Medium-High,Established
90,857183754,ACC697996,10/04/2025 10:34,10,no answer,56,399539.1044,0,3,0,51-75,High,New
91,812707462,ACC980026,15/04/2025 16:46,16,answer,62,382671.1149,26.77621895,4,1,51-75,High,Long-term
92,837460626,ACC125126,08/04/2025 12:30,12,answer,50,218448.9926,4.562920877,3,1,36-50,Medium-Low,Established
93,885726375,ACC314276,11/04/2025 10:58,10,stale,58,330743.9539,9.603853575,3,0,51-75,Medium-High,Established
94,896818797,ACC777138,15/04/2025 14:52,14,no answer,30,326505.4093,22.23867696,1,0,25-35,Medium-High,Long-term
95,827906075,ACC929311,24/04/2025 14:11,14,answer,44,173668.0976,14.41437848,2,1,36-50,Low,Loyal
96,893766561,ACC276566,28/04/2025 14:05,14,no answer,42,351361.9412,11.09401425,2,0,36-50,High,Loyal
97,862204034,ACC180416,21/04/2025 10:50,10,callback error,67,241141.0374,10.51331422,3,1,51-75,Medium-Low,Loyal
98,818963691,ACC133280,14/04/2025 12:45,12,answer,52,266906.5337,4.113501888,4,0,51-75,Medium-Low,Established
99,824060810,ACC247779,17/04/2025 14:02,14,abandoned,61,178312.706,20.45716326,3,1,51-75,Low,Long-term
100,821721607,ACC435311,28/04/2025 13:01,13,answer,52,153465.8204,13.98067851,4,1,51-75,Low,Loyal
101,864783658,ACC274129,18/04/2025 15:16,15,callback error,34,189963.6637,7.446452854,2,1,25-35,Low,Established
102,825038147,ACC612066,29/04/2025 10:10,10,no answer,46,274761.8577,1.249714531,4,0,36-50,Medium-High,New
103,894712658,ACC414329,09/04/2025 10:27,10,no answer,46,295913.4345,0.491579496,5,0,36-50,Medium-High,New
104,877645508,ACC399321,14/04/2025 12:43,12,answering machine,37,303736.4293,15.5610774,4,1,36-50,Medium-High,Loyal
105,875245035,ACC354716,16/04/2025 10:44,10,no answer,70,448455.1224,1.207716399,1,0,51-75,High,New
106,877952561,ACC973400,15/04/2025 10:21,10,no answer,43,232437.4314,11.18275964,1,1,36-50,Medium-Low,Loyal
107,895469055,ACC543664,29/04/2025 14:12,14,answer,63,247017.4412,9.107403538,4,1,51-75,Medium-Low,Established
108,867319713,ACC427601,16/04/2025 12:52,12,answer,25,340840.1672,1.996836783,3,0,25-35,High,New
109,853862885,ACC919188,02/04/2025 14:28,14,wrong party,57,277421.2309,21.56249854,2,1,51-75,Medium-High,Long-term
110,826625048,ACC864085,07/04/2025 15:05,15,answer,32,277679.4294,15.28083518,3,1,25-35,Medium-High,Loyal
